# 贵州茅台 经销商网络 · 数据源: 各年报第三节"销售网络"章节
# 关注要点: 经销商数量变化与直销占比是硬币两面(见 分部营收.csv 直销 vs 批发代理)
年度,国内经销商数,国外经销商数,合计经销商数,数据源
2016,2331,85,2416,2016年报第三节
2017,2979,104,3083,2017年报第三节·国内+648大扩张(主要系列酒)
2018,2987,115,3102,2018年报第三节·高进高出(减茅台酒经销商437家)
2019,2377,105,2482,2019年报第三节·大幅收缩(清理系列酒酱香经销商503家)
2020,2046,104,2150,2020年报第三节
2021,2089,104,2193,2021年报第三节
2022,2084,105,2189,2022年报第三节
2023,2080,106,2186,2023年报第三节
2024,2143,104,2247,2024年报第三节
2025,2353,126,2479,2025年报第三节·国内+210(主要系列酒经销商扩充)
# 关键节点:
# 1. 2017 大扩张 2416→3083(+667)·2018 高进高出净增仅19·2019 大清理 3102→2482(-620)
# 2. 2020-2023 稳态 ~2150-2190·清理完毕后进入精细化管理
# 3. 2024-2025 重新扩张 2247→2479·主要增加系列酒国内经销商+国外(126创新高)
# 4. 经销商从"扩→缩→稳→再扩"的周期与直销占比 14%→50% 重叠,说明批发渠道并未因直销而萎缩
