# 贵州茅台 飞天(53度 500ml)价格跟踪 · 单位: 元/瓶; 币种: 人民币
# ⚠️ 本 CSV 数据源非年报, 属报表外行业景气度温度计, 需另查渠道数据(今日酒价 / 澎湃财经 / 新浪财经 / 茅台官方公告)
# 数据源: 各条明确标注 —— 事实编年为一手来源; 其余用"⏳待补"或"约"占位
# 关注要点: 批价 vs 出厂价 = 定价权与安全垫; 批价大幅回落逼近出厂价 → 从"真安全垫"转"渠道压货风险显性化"
日期,出厂价打款,自营零售指导价,散瓶批价,原箱批价,数据源
2016-01,819,-,~900,-,历史公开·待精确核
2017-08,-,-,~1300-1500,-,老唐经典文集·价格回升期
2018-01-12,969,1499,~1700,-,2018年出厂价上调公告(819→969)
2020,969,1499,~2400-2500,-,行业公开·待精确
2021,969,1499,~2900-3200,~3600,行业公开·价格峰值期
2022,969,1499,~2800-3000,~3400-3600,行业公开·价格高位
2023-11,1169,1499,~2700-2900,~3300-3500,2023-11出厂价上调(969→1169·+20.6%)
2024,1169,1499,~2300-2700,~3000-3300,行业公开·价格回落
2025,1169,1499,~1900-2200,~2400-2800,行业公开·2025 深度调整
2026-Q2,1269,1539,~1560-1630,~1700,澎湃财经·新浪财经·2026-Q2区间(事实编年2026-06.md)
2026-07-09,1269,1539,~1555,~1700,新浪·酒价内参07-09(事实编年2026-07.md)·散瓶近一月次低位·07-05企稳信号被07-07证伪
2026-07-18,1369,1639,-,-,茅台公告年内二度提价(打款价1269→1369·+7.88%·i茅台零售1539→1639·+6.50%)·cninfo一手公告
2026-03-31,1269,1539,-,-,茅台公告"双价齐调"(打款价1169→1269·+8.5%·自营零售1499→1539)
2026-07-20,1369,1639,~1680,~1710,提价后两日批价跟涨(酒价内参07-19单日+35创近月最大涨幅·事实编年2026-07.md)
2026-07-29,1369,1639,~1640,~1655,一批价档·源站首次明确分列口径(玖鼎名酒/淘酒帮·终端零售均价1770系另档不可互减·事实编年2026-07.md)
2026-08-08,1369,1639,~1695,~1710,批价档调货价口径(澎湃+酒排名跨源印证·线下自营店零售1753年内三调·i茅台1639"双价体系"·事实编年2026-08.md)
2026-08-13,1369,1639,-,-,终端零售均价档1787(创07-20起序列新高·vs出厂溢价30.5%·11单品总价首破万元·批价档本期未列·事实编年2026-08.md)
# 关键节点:
# 1. 出厂价历次调整(茅台"打款价"): 819(2016)→969(2018-01-12)→1169(2023-11-01)→1269(2026-03-31)→1369(2026-07-18)
# 2. 批价 vs 出厂价倍数:
#    2021 峰值 3.0x+ (最健康)
#    2024 回落 2.0-2.3x (仍安全)
#    2026-Q2 1.23-1.28x (逼近历史下限·但仍不倒挂·全板块唯一)
#    2026-07-09 散瓶1.23x·原箱1.34x (继续下探·07-05短暂企稳被证伪·基于旧出厂价1269)
#    2026-07-18 出厂价上调至1369瞬间: 07-09批价1555/1369=1.14x(提价前旧批价口径·历史最薄点)
#    2026-07-20 提价后批价跟涨: 散瓶~1680/1369=1.23x (07-19单日+35·提价被渠道接受·1.14x最薄点仅存续两天)
#    2026-08-08 批价档~1695/1369=1.24x; 2026-08-13 终端零售均价档1787/1369=1.31x (两档口径不同·不可互减·均不倒挂)
#    ⚠️ 年内累计打款价+17.1%(1169→1369)·批价随后跟涨·倍数从提价瞬间1.14x修复至批价档~1.24x·仍处历史低位区间(2021峰值3.0x+)
#    ⚠️ 口径纪律: 出厂(打款)/一批价/批价档(调货)/终端零售均价/自营店零售/i茅台零售 各档严禁互减(baijiu-price-tier-source-ambiguity)
# 3. 若批价 <= 出厂价(倒挂) → 生意质量拐点, 需立即降档评级
# 4. 需下次会话通过 daily-news skill 或 网页抓取补精确月度数据; 本 CSV 是骨架 + 关键节点
