日期,产品,出厂价(元/瓶),读数(元/瓶),口径档位,vs出厂(按编年原算),状态,来源
2026-06-09,青花20(53度500ml),380,340-352,批价档,倒挂≈7-10%,🔴轻度倒挂,新浪汾酒价目(事实编年2026)
2026-07-02,青花20(53度500ml),380,约370+,批价档,倒挂<3%,🟡边际改善,新浪酒价内参07-02(事实编年2026)
2026-07-07,青花20(53度500ml),380,377-381,批价档,倒挂≈1%内,🟡连续两期上涨,新浪酒价内参07-07(事实编年2026)
2026-07-09,青花20(53度500ml),380,380-384,批价档,倒挂基本消除,🟢三连涨·创近一月最高,新浪酒价内参07-09(事实编年2026)
2026-07-20,青花20(53度500ml),380,360-370,批价档,倒挂3-5%,🔴倒挂重现·07-09信号被证伪,酒排名07-20+酒价内参07-19(事实编年2026)
2026-07-24,青花20(53度500ml),380,369,批价档,倒挂2.9%,🟡边际改善,酒排名07-24(事实编年2026)
2026-07-29,青花20(53度500ml),380,372,终端零售均价,倒挂2.1%,🟡连续三期温和上行,酒排名07-29(事实编年2026)
2026-07-30,青花20(53度500ml),380,369,终端零售均价,倒挂2.9%,🟡回吐,酒排名07-30(事实编年2026)
2026-08-01,青花20(53度500ml),380,374,终端零售均价,倒挂1.6%,🟡序列新高·板块并列领涨,酒排名08-01(事实编年2026)
2026-08-05,青花20(53度500ml),380,372,终端零售均价,倒挂2.1%,🟡回吐·板块跌幅第1,酒排名08-05(事实编年2026)
2026-08-05,玻汾黄盖(475ml),,43,终端零售均价,,🟢光瓶塔基量单品首个读数,酒排名08-05(事实编年2026)
2026-08-08,青花20(53度500ml),380,379,终端零售均价,倒挂0.3%,🟡回溯值(内参08-09期倒推),酒价内参08-09(事实编年2026)
2026-08-09,青花20(53度500ml),380,388,终端零售均价,溢价+2.1%,🟢**倒挂→溢价拐点日**,酒价内参08-09(事实编年2026)
2026-08-10,青花20(53度500ml),380,393,终端零售均价,溢价+3.4%,🟢四连涨·近一月新高,酒价内参08-10(事实编年2026)
2026-08-13,青花20(53度500ml),380,390,终端零售均价,溢价+2.6%,🟢高位小幅回吐,酒排名08-13(事实编年2026)
2026-08-16,青花20(53度500ml),380,394,终端零售均价,溢价+3.7%,🟢序列新高,酒排名08-16(事实编年2026)
2026-08-18,青花20(53度500ml),380,398,终端零售均价,溢价+4.7%,🟢单日+7·序列高点,酒排名08-19稿(事实编年2026)
2026-08-20,青花20(53度500ml),380,393,终端零售均价,溢价+3.4%,🟢高位横盘,酒排名08-20(事实编年2026)
2026-08-24,青花20(53度500ml),380,396,终端零售均价,溢价+4.2%,🟢重回高位,酒排名08-24(事实编年2026)
2026-08-27,青花20(53度500ml),380,398,终端零售均价,溢价+4.7%,🟢追平序列高点·与普五并列领涨,酒排名08-27(事实编年2026)
2026-08-31,青花20(53度500ml),380,384,终端零售均价,溢价+1.1%,🟡三连阴·溢价最薄仅4元,酒排名08-31(事实编年2026)
2026-09-01,青花20(53度500ml),380,390,终端零售均价,溢价+2.6%,🟢三连阴终结,酒排名09-01(事实编年2026)
2026-09-01,青花20(53度500ml),380,348,批价档,倒挂8.4%,🔴经销商流通端仍倒挂(与终端档并存·口径隔离),酒排名09-01同稿批价档(事实编年2026)
2026-09-02,青花20(53度500ml),380,395,终端零售均价,溢价+3.95%,🟢守价缓冲连续两读数扩大·板块内除茅台外唯一守价品,酒排名09-02(事实编年2026)
