指标,福耀玻璃,AGC旭硝子·汽车分部,NSG板硝子·汽车分部,圣戈班·Mobility,备注
财年口径,2025(自然年),FY2025(2025自然年),FY2026/3(2025-04~2026-03),2025(自然年),三家财年重叠度高但不完全一致
汽车玻璃业务收入(本币),418.89亿RMB(汽玻分部·抵销前),5206亿JPY,4572.22亿JPY(外部收入),不单列(Mobility并在高性能解决方案分部),福耀=分部营收.csv;AGC=FY2025简报P14;NSG=FY2026/3年度业绩P6/P18
汽车玻璃业务收入(约折RMB·1RMB≈20.5JPY),418.89亿,~254亿,~223亿,—,汇率为2025年约数·仅作量级比较
收入同比,汽玻分部+17.3%(公司整体+16.65%),+4.4%(4988→5206亿JPY·含日元贬值+21亿及并表范围-10亿影响),+6.5%(4294→4572亿JPY),Mobility有机增长-2.2%,福耀增速为对手2-4倍
分部营业利润(本币),福耀不按分部披露OP(公司整体营业利润111.85亿RMB),293亿JPY(上年139亿·翻倍),49.95亿JPY(上年76.67亿·下滑),不披露,AGC归因:产品结构改善+定价+日元贬值;NSG归因:北美生产问题
分部营业利润率,公司整体24.4%(福耀93%主营为汽玻·近似可比),5.6%(FY2024仅2.8%),1.1%(FY2025/3为1.8%),—,口径注:福耀为公司整体营业利润率;AGC/NSG为汽车分部OP率
集团层面盈利,归母净利93.12亿RMB·净利率20.3%·ROE24.8%,集团OP率6.2%·ROE 4.7%,集团归母净利44.21亿JPY(FY2025/3归母亏损138.31亿JPY)·OP率3.3%,集团销售€465亿(多元建材集团·汽玻占比小),福耀数据=利润表.csv/财务比率.csv;对手=各自业绩公告
美国运营对照,福耀美国2024经审计净利8811万USD(营收8.87亿USD·净利率~10%),FY2024汽车OP暴跌36%主因美国生产与出货问题,北美关键工厂生产问题拖累利润,—,福耀数=2025-03伊利诺伊增资公告;对手自述见各业绩稿
汽车分部经营资产/资本开支,固定资产+在建264亿RMB(全公司口径·含浮法),—,净经营资产2055.53亿JPY·capex167.27亿JPY,—,NSG=FY2026/3业绩P20
数据采集,2026-08-30,AGC官方FY2025简报(2026-02-06)+FY2024业绩稿,NSG官方FY2026/3年度业绩稿(一手PDF全文核验),圣戈班FY2025业绩(2026-02-27)二手转述,对手均为一手业绩文件或其直接转述;非年报附注级精度
