"# 单位: 百万美元(USD millions), 占比=小数; 来源: 10-Q(2026-08-04) 收入附注 + 关联方附注 Note 17; 口径: Backlog=已达成可执行合同中尚未履约部分的交易价格, **不含**按交付即确认的部分/非重大选择权/受约束的可变对价; 客户A/B 公司**未具名**; 关联方债务对手方=Valor Equity Partners(董事 Antonio Gracias 为其创始人兼CEO/CIO), 该等设备租赁被判定为**失败的售后租回**故全额计为债务"
科目,2025Q2,2026Q2,2025H1,2026H1,2026-06-30时点
合同储备 Backlog 总额,,,,,47461
其中:已列为合同负债 of which deferred revenue,,,,,14286
合同储备-1年内确认占比,,,,,0.56
合同储备-1至3年确认占比,,,,,0.34
合同储备-3年以上确认占比,,,,,0.1
合同负债(递延收入)总额,,,,,14286
客户A占合并收入比(横跨全部分部),0.167,0.183,0.199,0.179,
客户B占合并收入比(仅AI分部),,0.195,,0.122,
[派生] 客户B收入额(占比×当期收入),,1524,,1526,
[派生] 客户B占AI方案及算力收入比,,0.695,,0.572,
关联方债务-Valor设备租赁(失败售后租回),,,,,13329
关联方利息支出-Valor,,327,,513,
