单位:金额千美元;倍数与同比为倍数(1=100%);空=该年一手申报未披露
"🔑 三张报表都是后视镜,本表是财报里**唯二指向未来**的硬数字(RPO + 客户预付)"
"⚠️ 口径限制:① RPO **只含原始预期期限>1年的合约**(≤1年公司用实务简化不披露)→ **不是完整订单簿**;② **只有金额、无对应 GWh** → **算不出在手订单隐含单价**(判断新签单是否降价的最直接指标,外部不可得 ⏳);③ 汽车监管积分 RPO 的披露自 FY2024 才出现,2023 无"
"来源:各年 10-K 收入确认附注原文「…for contracts with an original expected length of more than one year was $X. Of this amount, we expect to recognize $Y in the next 12 months」;汽车与能源两节各有一处、金额不同,勿混。逐年跨申报核对一致"
科目,2022,2023,2024,2025
【能源】RPO 剩余履约义务(>1年期合约),,3430000,7180000,10420000
【能源】其中:未来12个月预计确认,,1050000,4510000,4960000
【能源】客户预付形成的递延收入,863000,1600000,1770000,2040000
【能源】当年自上年末递延收入余额确认的收入,,571000,1270000,1450000
【能源】租赁/PPA 递延收入(SolarCity 遗留·逐年退场),191000,181000,164000,151000
【汽车】监管积分合约 RPO(>1年期),,,4680000,841000
【汽车】其中:未来12个月预计确认,,,863000,738000
—— 派生 ——
【能源】RPO ÷ 当年能源分部收入(订单覆盖倍数),,0.5684,0.7119,0.8159
【能源】未来12个月可确认额 ÷ 当年能源收入(次年可见度),,0.1740,0.4472,0.3884
【能源】RPO 同比,,,1.0933,0.4513
【汽车】监管积分 RPO ÷ 当年监管积分收入,,,1.6938,0.4220
【汽车】监管积分 RPO 同比,,,,-0.8203
