"# **派生情景估算·非披露值·非预测**; 单位: 百万美元(USD millions); 口径: 假设自 2026-06-30 起**资本开支归零**、仅现有在役资产 + 在建工程转固 → 故为**下限/地板值**; 两项关键假设(10-Q 未披露): 在建工程中 AI 占比 · 转固后在服务器(5.5年)与数据中心基建(22.5年)间的分配; 参考: AI分部 H1-2026 单半年资本开支 23,551 —— 只要投入不停, 实际值必高于本表"
科目,情景-低,情景-中,情景-高
[输入·一手] 在建工程总额 CIP,12554,12554,12554
[输入·一手] 服务器及网络设备(在役),34771,34771,34771
[输入·一手] AI分部 H1-2026 折旧摊销×2(年化),6756,6756,6756
[输入·一手] AI分部 FY2025 折旧摊销,3568,3568,3568
[假设] 在建工程中 AI 占比,0.7,0.85,1.0
[假设] 转固后归入服务器(5.5年)的比例,0.3,0.6,0.9
[派生] 在役基数运行率-路径A(资产类别法),6499,6499,6499
[派生] 在役基数运行率-路径B(分部实际法),7854,7854,7854
[派生] 在建工程转固带来的年折旧增量,753,1354,2110
【结果】转固后 AI 分部年化折旧-下限(路径A),7252,7853,8609
【结果】转固后 AI 分部年化折旧-上限(路径B),8607,9208,9964
[对照] 相对 FY2025 实际的倍数-下限,2.03,2.2,2.41
[对照] 相对 FY2025 实际的倍数-上限,2.41,2.58,2.79
