# 来源:10-Q Q2'26 MD&A + Note2/11/关联方 + 8-K 2026-05-11 / 2026-07-02;⚠️**代币尚未发行**:Arc 主网初期为 Proof-of-Authority,ARC Token 只在转 PoS/委托 PoS 时才诞生,公司原文称该转型受「技术、商业、法律、监管与市场因素」约束 → **立法环境是代币能否存在的前置变量之一**;预售款按递延收入挂账(其他流动负债),确认后进「其他收入」→ FY2026 其他收入指引含此一次性
科目,值
预期初始总供应量(百万枚),10000
预售合计(百万枚·两轮),807.5
预售占初始供应,0.08075
预售价格(美元/枚),0.3
预售毛额(百万美元),242.2
隐含完全稀释估值FDV(百万美元·=初始供应×预售价),3000
其中2026Q2已收现(百万美元),222.0
其中关联方认购-IDG Capital关联实体(百万枚·2026-05-08),83.3
其中关联方认购-IDG Capital关联实体(百万美元),25.0
关联方认购占预售毛额比例,0.1032

条款与定性(非数值),内容
会计处理,"预售款先计递延收入(其他流动负债),履约义务满足后确认为「其他收入」(公司称代币销售分发属日常主营)"
发行豁免,Securities Act Section 4(a)(2) 私募 —— **公司自身按证券口径做的发行**
Arc 主网初期共识机制,Proof-of-Authority(2026-09-16 定档上线)
代币存在的前提,转 Proof-of-Stake 或委托 PoS;公司原文:时点/结构/条款/范围「受技术、商业、法律、监管与市场因素约束」
PoS 转型退款截止日,2028-05-08 前未完成须退还预售款
锁定期,≥PoS 转型后 1 年(最长 4 年)
关联方性质,IDG Capital 关联实体同时是 Circle >5% 股东(见 主要股东.csv Chuang Xi Capital 行)
